Tree_ID,Source,Date,Crown base height [m],Height [m],Crown diameter [m],Canopy condition,"Crown projection area, convex hull [m**2]","Crown projection area, concave hull [m**2]",Latitude (EPSG:4326),Longitude (EPSG:4326),Easting [m],Northing [m],Height [m]_general,Target_DBH,Specie_Acer campestre,Specie_Acer pseudoplatanus,Specie_Carpinus betulus,Specie_Fagus sylvatica,Specie_Larix decidua,Specie_Picea abies,Specie_Pinus sylvestris,Specie_Prunus avium,Specie_Pseudotsuga menziesii,Specie_Quercus petraea,Specie_Salix caprea
AceCam_BR01_P19T9,ULS,2019-09-12,1.35,10.992,8.177,leaf-on,47.162,41.405,49.014,8.682842,476808.78425,5429060.50575,271.049988,17.0,True,False,False,False,False,False,False,False,False,False,False
AceCam_BR01_P21T41,ULS,2019-09-12,1.25,7.255,4.01,leaf-on,11.289,9.109,49.014387,8.682112,476755.613281,5429103.762,254.481,6.4,True,False,False,False,False,False,False,False,False,False,False
AceCam_BR01_P21T42,ULS,2019-09-12,1.25,7.377,5.434,leaf-on,19.333,15.171,49.014377,8.682139,476757.5725,5429102.71925,254.985321,6.4,True,False,False,False,False,False,False,False,False,False,False
AceCam_BR01_P6T5,ULS,2019-09-12,1.35,18.228,13.585,leaf-on,130.32,104.902,49.013874,8.681704,476725.500742,5429046.887562,255.964981,41.5,True,False,False,False,False,False,False,False,False,False,False
AcePse_BR01_P17T26,ULS,2019-09-12,2.55,12.281,3.8,leaf-on,10.903,9.842,49.014186,8.682164,476759.28125,5429081.47675,258.724548,9.6,False,True,False,False,False,False,False,False,False,False,False
AcePse_BR01_P21T1,ULS,2019-09-12,1.45,12.83,4.061,leaf-on,11.55,10.696,49.014256,8.682132,476756.99025,5429089.25575,257.053009,6.8,False,True,False,False,False,False,False,False,False,False,False
AcePse_BR01_P7T11,ULS,2019-09-12,6.45,13.126,3.932,leaf-on,10.261,8.86,49.013806,8.682009,476747.765,5429039.22875,260.957489,9.2,False,True,False,False,False,False,False,False,False,False,False
AcePse_BR01_P7T14,ULS,2019-09-12,2.55,12.794,6.683,leaf-on,34.502,28.945,49.013762,8.682145,476757.6965,5429034.308,262.965271,11.0,False,True,False,False,False,False,False,False,False,False,False
CarBet_BR01_P13T02,ULS,2019-09-12,1.35,18.37,9.557,leaf-on,71.947,61.936,49.013779,8.682508,476784.24675,5429036.04075,269.714783,21.0,False,False,True,False,False,False,False,False,False,False,False
CarBet_BR01_P13T03,ULS,2019-09-12,1.05,18.09,9.373,leaf-on,67.039,59.749,49.013783,8.682501,476783.7538,5429036.5397,269.626709,21.5,False,False,True,False,False,False,False,False,False,False,False
