Tree_ID,Specie,Tree_Height,Crown_Diameter,Wood_Density,DBH,Biomass_kg,Northern_Point,Eastern_Point,Date,PLOT_NUMBER
CarBet_BR01_P22T24,Carpinus betulus,36.01,11.0,0.7,56.91,4187.65,5429086.959,476777.142,2025-12-10,BR01
FagSyl_BR01_P22T2,Fagus sylvatica,28.22,10.59,0.58,40.64,1424.16,5429090.26,476785.72,2025-12-10,BR01
Unknown_3,Unknown,29.33,4.3,0.5,37.26,1080.08,5429091.451,476782.505,2025-12-10,BR01
FagSyl_BR01_P22T11,Fagus sylvatica,28.28,2.95,0.58,31.81,884.64,5429083.127,476776.159,2025-12-10,BR01
PruAvi_BR01_P22T19,Prunus avium,28.57,2.34,0.49,33.07,817.72,5429089.821,476776.788,2025-12-10,BR01
PruAvi_BR01_P22T16,Prunus avium,26.31,2.59,0.49,31.25,675.31,5429086.015,476785.052,2025-12-10,BR01
PruAvi_BR01_P22T16,Prunus avium,26.36,3.09,0.49,31.3,678.84,5429087.208,476782.751,2025-12-10,BR01
FagSyl_BR01_P22T8,Fagus sylvatica,26.91,8.87,0.58,32.55,881.29,5429098.582,476786.533,2025-12-10,BR01
FagSyl_BR01_P22T3,Fagus sylvatica,28.48,6.72,0.58,33.08,961.61,5429100.915,476780.925,2025-12-10,BR01
Unknown_10,Unknown,27.61,3.9,0.5,31.86,750.0,5429101.367,476783.8,2025-12-10,BR01
LarDec_BR01_P22T4,Larix decidua,29.73,5.9,0.46,37.91,1043.33,5429102.077,476776.439,2025-12-10,BR01
Unknown_12,Unknown,24.09,5.34,0.5,31.53,643.14,5429082.712,476785.259,2025-12-10,BR01
Unknown_13,Unknown,27.28,2.25,0.5,31.69,733.64,5429101.575,476784.695,2025-12-10,BR01
PruAvi_BR01_P22T14,Prunus avium,24.65,3.35,0.49,31.42,640.69,5429081.939,476781.391,2025-12-10,BR01
Unknown_15,Unknown,26.49,3.93,0.5,31.36,698.17,5429102.755,476786.175,2025-12-10,BR01
PruAvi_BR01_P22T14,Prunus avium,23.45,3.45,0.49,30.56,578.0,5429083.506,476782.587,2025-12-10,BR01
QuePet_BR01_P22T6,Quercus petraea,25.83,8.24,0.58,31.42,790.31,5429092.195,476769.277,2025-12-10,BR01
FagSyl_BR01_P22T11,Fagus sylvatica,23.23,3.24,0.58,30.45,670.34,5429081.76,476776.843,2025-12-10,BR01
FagSyl_BR01_P22T9,Fagus sylvatica,23.79,2.35,0.58,31.16,717.93,5429094.09,476783.107,2025-12-10,BR01
Unknown_20,Unknown,23.39,2.29,0.5,30.45,583.84,5429096.151,476785.865,2025-12-10,BR01
CarBet_BR01_P18T23,Carpinus betulus,23.09,4.37,0.7,30.45,800.66,5429082.226,476772.057,2025-12-10,BR01
CarBet_BR01_P17T10,Carpinus betulus,22.86,1.82,0.7,26.67,612.08,5429081.652,476774.225,2025-12-10,BR01
CarBet_BR01_P22T18,Carpinus betulus,23.74,7.4,0.7,31.21,863.05,5429094.258,476779.879,2025-12-10,BR01
PseMen_BR01_P22T7,Pseudotsuga menziesii,23.75,3.35,0.45,31.16,559.49,5429088.885,476771.687,2025-12-10,BR01
FagSyl_BR01_P22T9,Fagus sylvatica,23.22,3.25,0.58,30.45,670.06,5429095.926,476783.167,2025-12-10,BR01
PseMen_BR01_P22T7,Pseudotsuga menziesii,22.98,2.85,0.45,28.06,441.41,5429086.915,476771.634,2025-12-10,BR01
CarBet_BR01_P18T23,Carpinus betulus,20.51,2.3,0.7,20.68,335.06,5429083.541,476771.182,2025-12-10,BR01
FagSyl_BR01_P16T2,Fagus sylvatica,20.63,7.7,0.58,25.43,420.16,5429086.208,476766.814,2025-12-10,BR01
FagSyl_BR01_P22T17,Fagus sylvatica,19.71,3.04,0.58,20.48,263.24,5429085.4,476769.998,2025-12-10,BR01
PruAvi_BR01_P17T2,Prunus avium,19.14,5.04,0.49,20.88,225.34,5429082.648,476767.868,2025-12-10,BR01
FraExc_BR01_P22T31,Fraxinus excelsior,21.83,5.25,0.56,23.28,361.09,5429099.587,476772.007,2025-12-10,BR01
FraExc_BR01_P22T31,Fraxinus excelsior,22.12,5.24,0.56,24.29,397.36,5429101.707,476771.336,2025-12-10,BR01
FagSyl_BR01_P22T12,Fagus sylvatica,21.14,1.6,0.58,21.78,317.92,5429098.863,476774.44,2025-12-10,BR01
FagSyl_BR01_P22T12,Fagus sylvatica,20.69,2.2,0.58,20.87,286.44,5429098.202,476773.636,2025-12-10,BR01
FagSyl_BR01_P22T12,Fagus sylvatica,21.02,1.15,0.58,20.95,293.03,5429098.48,476772.537,2025-12-10,BR01
CarBet_BR01_P22T34,Carpinus betulus,20.26,4.69,0.7,20.63,329.61,5429097.265,476770.608,2025-12-10,BR01
Unknown_37,Unknown,19.03,4.5,0.5,19.94,208.86,5429097.575,476776.472,2025-12-10,BR01
PruAvi_BR01_P22T23,Prunus avium,17.63,2.09,0.49,15.41,115.02,5429091.071,476773.321,2025-12-10,BR01
CarBet_BR01_P22T25,Carpinus betulus,17.98,3.53,0.7,16.2,183.05,5429095.912,476774.302,2025-12-10,BR01
FagSyl_BR01_P16T2,Fagus sylvatica,15.13,1.83,0.58,13.62,91.74,5429086.788,476765.061,2025-12-10,BR01
CarBet_BR01_P22T20,Carpinus betulus,16.29,4.45,0.7,13.78,121.13,5429092.215,476774.68,2025-12-10,BR01
FraExc_BR01_P22T31,Fraxinus excelsior,15.31,1.75,0.56,13.75,91.3,5429100.711,476769.611,2025-12-10,BR01
FagSyl_BR01_P22T36a,Fagus sylvatica,14.42,6.92,0.58,14.08,93.34,5429099.09,476766.693,2025-12-10,BR01
FraExc_BR01_P22T33,Fraxinus excelsior,10.41,3.18,0.56,10.49,36.94,5429091.741,476765.035,2025-12-10,BR01
CarBet_BR01_P21T46,Carpinus betulus,11.95,3.01,0.7,10.17,49.48,5429095.287,476766.284,2025-12-10,BR01
Unknown_46,Unknown,12.25,2.44,0.5,9.86,34.39,5429102.787,476766.82,2025-12-10,BR01
FagSyl_BR01_P22T37,Fagus sylvatica,8.97,2.1,0.58,7.18,15.79,5429097.95,476764.979,2025-12-10,BR01
Unknown_48,Unknown,7.94,2.5,0.5,6.85,11.06,5429102.962,476789.532,2025-12-10,BR01
Unknown_49,Unknown,0.46,2.0,0.5,6.28,0.58,5429083.019,476789.02,2025-12-10,BR01
